,precision,recall,f1-score,support
brute_force,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0
credential_stuffing,0.8888888888888888,0.8275862068965517,0.8571428571428571,29.0
device_spoofing,1.0,1.0,1.0,25.0
impossible_travel,1.0,1.0,1.0,22.0
insider_drift,1.0,0.76,0.8636363636363636,25.0
lateral_movement,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
low_and_slow_exfiltration,1.0,0.7586206896551724,0.8627450980392157,29.0
normal,0.9975646309479206,1.0,0.9987808309106255,5325.0
accuracy,0.9958181818181818,0.9958181818181818,0.9958181818181818,0.9958181818181818
macro avg,0.9482161102694562,0.890002052545156,0.9146442043221934,5500.0
weighted avg,0.9958625854880273,0.9958181818181818,0.9956649822858342,5500.0
